Year,Annual sea surface temperature anomalies,Annual CO2 emissions
1850,-0.034916274,19792928
1851,0.08074214,24633072
1852,0.08905106,26791168
1853,0.06128806,30162048
1854,0.003241808,33159198
1855,0.030018061,38160560
1856,-0.034341525,40036530
1857,-0.15712668,41055120
1858,-0.13299903,41648690
1859,-0.008985271,45320016
1860,0.03241239,47437810
1861,-0.0949176,45679090
1862,-0.1286636,47448800
1863,-0.059616275,54809776
1864,-0.09998127,58656976
1865,0.055493478,58821856
1866,0.06147165,59232224
1867,0.062968224,72865970
1868,0.052522726,82352060
1869,-0.015809523,93695810
1870,0.042889807,98620220
1871,0.037309393,103020690
1872,0.024075055,126305410
1873,-0.026541939,139506800
1874,-0.12432144,134296590
1875,0.027401308,135747540
1876,-0.07782061,132820010
1877,0.24225381,147175550
1878,0.2623479,143903600
1879,0.06966973,175468960
1880,0.063482314,198856380
1881,0.116112895,210400510
1882,0.052516975,235663860
1883,0.019836396,254230540
1884,-0.087170355,267921760
1885,-0.07227527,272506900
1886,-0.08599918,287836900
1887,-0.15522027,307936640
1888,0.014890478,374415200
1889,0.09873823,336123680
1890,-0.16974986,402411650
1891,-0.010759774,428107500
1892,-0.1518112,451176600
1893,-0.14678927,454759420
1894,-0.17074011,425744800
1895,-0.08163844,480673180
1896,0.11197981,481672540
1897,0.067001894,501199780
1898,-0.16750276,546327300
1899,-0.044646025,626822900
1900,0.035138976,664131600
1901,-0.09213285,723192060
1902,-0.18034269,766651600
1903,-0.301279,896952800
1904,-0.33115587,884803400
1905,-0.1639482,989991200
1906,-0.11196136,1039963970
1907,-0.20241235,1208486300
1908,-0.30778143,1057521600
1909,-0.3286427,1171650800
1910,-0.32702228,1278529500
1911,-0.32813078,1265776100
1912,-0.1917277,1351017700
1913,-0.22624277,1450855400
1914,-0.08110877,1325944300
1915,0.03123014,1375451600
1916,-0.15750377,1527240000
1917,-0.20325635,1679331300
1918,-0.15690902,1754117200
1919,-0.11306702,1486433300
1920,-0.031665277,1747166700
1921,-0.0062057716,1432479000
1922,-0.08816227,1446013000
1923,-0.06341002,1909034400
1924,-0.05768411,1711686500
1925,-0.013629774,1758185500
1926,0.11141306,1906048500
1927,0.037489895,1862839200
1928,0.005276143,1830965000
1929,-0.063780025,1963506200
1930,0.08920706,1744916200
1931,0.14429948,1484959100
1932,0.062069897,1257814100
1933,0.08348956,1348876800
1934,0.13566056,1436238600
1935,0.12526372,1492320900
1936,0.16096023,1713411700
1937,0.30750147,1792609900
1938,0.21793415,1515749900
1939,0.270887,1670920400
1940,0.39988723,1874985100
1941,0.2749584,2043585000
1942,0.24096264,2198264800
1943,0.22558331,2272059100
1944,0.3742868,2444903700
1945,0.3677769,2359551500
1946,0.15278131,2257493800
1947,0.08884573,2485854500
1948,0.097610146,2582558700
1949,0.110753395,2164862200
1950,0.09475765,2541485300
1951,0.19907323,2618704400
1952,0.29459572,2551215900
1953,0.31025648,2612971300
1954,0.11920289,2489462300
1955,0.04073831,2728508400
1956,0.02525106,2859987500
1957,0.2293183,2835772200
1958,0.25441307,2747107600
1959,0.19854414,2831908400
1960,0.15800557,2897308000
1961,0.21473764,2886861800
1962,0.15918523,2993898500
1963,0.2151109,3126484000
1964,0.0076045613,3264306400
1965,0.047280062,3399539200
1966,0.16171873,3571417600
1967,0.09586706,3705461000
1968,0.101989225,3840923400
1969,0.26740798,4035156200
1970,0.15472889,4339704300
1971,-0.00020652577,4365483500
1972,0.23782656,4573033500
1973,0.27061763,4777725000
1974,0.116295815,4608462300
1975,0.11066715,4414455300
1976,0.13199264,4621539000
1977,0.34342015,4749501000
1978,0.2856673,4897339000
1979,0.4037594,4908766000
1980,0.39988565,4730218500
1981,0.37407306,4543633400
1982,0.35663155,4311918600
1983,0.4530404,4346381000
1984,0.3207764,4479379500
1985,0.30555114,4495378400
1986,0.33513856,4498135600
1987,0.49262682,4691930000
1988,0.46825713,4897776000
1989,0.42667523,4960237600
1990,0.55368614,5131760600
1991,0.5349323,5076412400
1992,0.4378564,5178769400
1993,0.4678978,5279520300
1994,0.5073671,5361863000
1995,0.5634167,5425837600
1996,0.502109,5601094000
1997,0.6834867,5673144000
1998,0.7715068,5736360000
1999,0.53618914,5800281000
2000,0.54097074,6023158000
2001,0.6516699,5903562000
2002,0.6935008,5947819500
2003,0.7194825,6006440000
2004,0.69877833,6111545000
2005,0.71021473,6126903300
2006,0.68741,6045326300
2007,0.62213904,6121542700
2008,0.5957514,5919221000
2009,0.7456925,5486104000
2010,0.7499481,5669250000
2011,0.6433064,5538973000
2012,0.7140454,5331467300
2013,0.739308,5473436000
2014,0.84114045,5531385300
2015,0.96706295,5368496600
2016,0.98573804,5245361700
2017,0.9094461,5195417600
2018,0.8726005,5361236500
2019,0.9642939,5235912000
2020,0.9592916,4689954000
2021,0.8835391,5020111000
2022,0.9357759,5055403000
2023,1.1839015,4918406700
2024,1.207033,4904120000
